storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
MALAD MOTOR MART,CarQuest,101731,117 NORTH 1ST WEST,MALAD,ID,83252,(208) 766-2274,USA,"42.18825,-112.2476159","42.18825,-112.2476159"
MALDEN AUTO SUPPLY,CarQuest,101732,256 BATHURST STREET,AMHERSTBURG,ON,N9V 1Y9,5197362174,CAN,"42.1019891,-83.1105443","42.1019891,-83.1105443"
MANCHESTER CARQUEST,CarQuest,101733,110 SOUTH 11TH ST.,MANCHESTER,IA,52057,5639275566,USA,"42.4825296,-91.474402","42.4825296,-91.474402"
MARKS AUTO SUPPLY INC.,CarQuest,101734,9485 STATE RT 13,CAMDEN,NY,13316,3152452451,USA,"43.3205759,-75.7362177","43.3205759,-75.7362177"
MARSH VALLEY MOTOR PARTS,CarQuest,101735,30 W. CENTER,DOWNEY,ID,83252,(208) 897-5115,USA,"42.4285297,-112.1244073","42.4285297,-112.1244073"
MASTER AUTO SUPPLY,CarQuest,101736,9585 WEST LINCOLN HIGHWAY,FRANKFORT,IL,60423,8154691212,USA,"41.5061368,-87.8482993","41.5061368,-87.8482993"
MATHESON AUTO PARTS,CarQuest,101737,"413 HWY 11, BOX 550",MATHESON,ON,P0K 1N0,7052732234,CAN,"48.5322476,-80.4631833","48.5322476,-80.4631833"
MATHEWS AUTO CENTER,CarQuest,101738,10 E. WILLOW ST.,LIBERTY,IN,47353,7654585124,USA,"39.632736,-84.921408","39.632736,-84.921408"
MAYSVILLE AUTO SUPPLY,CarQuest,101739,500 E MAIN,MAYSVILLE,MO,64469,8164492021,USA,"39.8891478,-94.3549474","39.8891478,-94.3549474"
MC AUTO SUPPLY,CarQuest,101740,430 WEST US 20,MICHIGAN CITY,IN,46360,2198791042,USA,"41.6800201,-86.9032395","41.6800201,-86.9032395"
MCA INC / DBA SIDLES CARQUEST,CarQuest,101741,219 GRANT ST,HOLDREGE,NE,68949,3089954454,USA,"40.4366288,-99.3729886","40.4366288,-99.3729886"
MCCLURE AUTO PARTS TOO,CarQuest,101742,309 SOUTH CENTRAL AVENUE,CAMPBELLSVILLE,KY,42718,2707891558,USA,"37.3382891,-85.3397475","37.3382891,-85.3397475"
MCCLURE'S AUTO PARTS,CarQuest,101743,155 US HWY. 25,MT VERNON,KY,40456,6062561660,USA,"37.3517122,-84.3379493","37.3517122,-84.3379493"
MCCLURES BIG J AUTO PARTS,CarQuest,101744,411 N 1ST,CLAYTON,NM,88415,5753749819,USA,"36.455656,-103.1869133","36.455656,-103.1869133"
MCKEE AUTO SUPPLY,CarQuest,101745,PO BOX 142  MAIN ST,MCKEE,KY,40447,6062877129,USA,"37.4305416,-84.0000171","37.4305416,-84.0000171"
MCKENZIE AUTO PARTS,CarQuest,101746,15385 HIGHLAND AVE,MCKENZIE,TN,38201,7313525334,USA,"36.1251483,-88.5162268","36.1251483,-88.5162268"
MCKENZIE AUTO PARTS,CarQuest,101747,12 OLD VIENNA RD,TILLSONBURG,ON,N4G 3C4,5198424248,CAN,"42.8593105,-80.7199658","42.8593105,-80.7199658"
"MCLEANSBORO AUTO AND AG, LLC",CarQuest,101748,505 W. MARKET STREET,MCLEANSBORO,IL,62859,6186482227,USA,"38.0935898,-88.5429758","38.0935898,-88.5429758"
MEESKE AUTO PARTS,CarQuest,101749,209 WEST ELDORA AVE,WEEPING WATER,NE,68463,4022675169,USA,"40.8697188,-96.1418048","40.8697188,-96.1418048"
MEMPHIS AUTO AND TRUCK PARTS,CarQuest,101750,300 S MARKET ST,MEMPHIS,MO,63555,6604652470,USA,"40.4564363,-92.1690672","40.4564363,-92.1690672"
MICHELENA AUTOMOTIVE SUPPLY,CarQuest,101751,70 BENTEEN AVE.,BUFFALO,WY,82834,3076842237,USA,"44.3491167,-106.6976519","44.3491167,-106.6976519"
MID-COUNTY AUTO SUPPLY CARQUEST,CarQuest,101752,125 NORTH FOURTH ST.,BREESE,IL,62230,6185264503,USA,"38.6112896,-89.5336555","38.6112896,-89.5336555"
MIDDLEBURG AUTO PARTS,CarQuest,101753,PO BOX 313,MIDDLEBURG,VA,20118,5406876328,USA,"39,-77.72","39,-77.72"
MIDTOWN AUTO PARTS,CarQuest,101754,413 MAIN STREET,WATER VALLEY,MS,38965,6624734333,USA,"34.1528835,-89.6315825","34.1528835,-89.6315825"
MID-VALLEY AUTOMOTIVE,CarQuest,101755,40 PINE STREET,ILION,NY,13357,3158945036,USA,"43.0210089,-75.0344187","43.0210089,-75.0344187"
MIDWAY AUTO SUPPLY,CarQuest,101756,419 BROADWAY,VALLEY FALLS,KS,66088,7859453323,USA,"39.3458065,-95.4582404","39.3458065,-95.4582404"
MIDWEST AUTO PARTS,CarQuest,101757,301 WEST 1ST ST,CORNING,AR,72422,8708573084,USA,"36.4088237,-90.5797367","36.4088237,-90.5797367"
MIDWEST AUTO SUPPLY LLC,CarQuest,101758,1666 HWY 28,OWENSVILLE,MO,65066,5734377278,USA,"38.3327353,-91.5255048","38.3327353,-91.5255048"
MIFFLINTOWN AG AND AUTO PARTS,CarQuest,101759,4587 WILLIAM PENN HIGHWAY,MIFFLINTOWN,PA,17059,7174368800,USA,"40.5578323,-77.3838955","40.5578323,-77.3838955"
MIKES AUTO PARTS INC.,CarQuest,101760,750 EAST PEACE ST,CANTON,MS,39046,6018598140,USA,"32.6128627,-90.0165053","32.6128627,-90.0165053"
MILAM AUTO SUPPLY INC.,CarQuest,101761,301 W 4TH,CAMERON,TX,76520,2546976533,USA,"30.8531565,-96.9772665","30.8531565,-96.9772665"
MILFORD AUTO SUPPLY,CarQuest,101762,1051 BRIDGEPORT AVE,MILFORD,CT,06460,2038746778,USA,"41.2161352,-73.069653","41.2161352,-73.069653"
MILL STREET AUTO SUPPLY,CarQuest,101763,4878 MILL STREET,ELKTON,MI,48731,9893752231,USA,"43.8186355,-83.176833","43.8186355,-83.176833"
MILLER AUTO PARTS,CarQuest,101764,10831 HIGHWAY 50,LAS ANIMAS,CO,81054,7194562603,USA,"38.0866898,-103.2189658","38.0866898,-103.2189658"
MILLER AUTO SUPPLY,CarQuest,101765,106 E. MAIN STREET,BEULAVILLE,NC,28518,9102986599,USA,"34.9234746,-77.7732415","34.9234746,-77.7732415"
MILLER MOTOR CO,CarQuest,101766,226 N. PENNSYLVANIA AVE,CENTRE HALL,PA,16828,8143641485,USA,"40.8475869,-77.6868391","40.8475869,-77.6868391"
MILLERS AUTO SUPPLY,CarQuest,101767,18341 HWY 1431,JONESTOWN,TX,78645,5122672589,USA,"30.5033994,-97.9149078","30.5033994,-97.9149078"
MILLS MORRIS,CarQuest,101768,2002 MAIN STREET / PO BOX 2306,COLUMBUS,MS,39701,6623286503,USA,"33.4980747,-88.4093039","33.4980747,-88.4093039"
MILTON'S AUTO SUPPLY,CarQuest,101769,333 SOUTH MAIN STREET,WINTERS,TX,79567,3257544578,USA,"31.9551347,-99.9630357","31.9551347,-99.9630357"
MINGO AUTO PARTS,CarQuest,101770,2421 COMMERCIAL STREET,MINGO JUNCTION,OH,43938,7405350707,USA,"40.3025828,-80.6182861","40.3025828,-80.6182861"
MINOT AUTO SUPPLY/INDUSTRIAL BRG,CarQuest,101771,425 BURDICK EXPWY WEST,MINOT,ND,58702,7018523301,USA,"48.2320503,-101.2995641","48.2320503,-101.2995641"
MINSTER CARQUEST,CarQuest,101772,134 EAST FOURTH STREET,MINSTER,OH,45865,4196283376,USA,"40.393168,-84.377882","40.393168,-84.377882"
MISSION AUTO PARTS,CarQuest,101773,2918 ROOSEVELT,SAN ANTONIO,TX,78214,2109212803,USA,"29.3702134,-98.480731","29.3702134,-98.480731"
MISSION AUTO SUPPLY,CarQuest,101774,PO BOX 927,DALHART,TX,79022,8062445573,USA,"36.0594772,-102.5132497","36.0594772,-102.5132497"
MITCHELL AUTO PARTS,CarQuest,101775,688 S MAIN STREET,MANSFIELD,PA,16933,5706622277,USA,"41.7894704,-77.0741196","41.7894704,-77.0741196"
MOAB AUTO PARTS INC.,CarQuest,101776,1010 S. MAIN ST.,MOAB,UT,84532,4352592413,USA,"38.5573932,-109.5436526","38.5573932,-109.5436526"
MOCKSVILLE AUTOMOTIVE,CarQuest,101777,884 SOUTH MAIN STREET,MOCKSVILLE,NC,27028,3367512944,USA,"35.8806905,-80.5603158","35.8806905,-80.5603158"
MODERN PARTS INC,CarQuest,101778,212 EAST CRANDALL,HARRISON,AR,72601,8707416131,USA,"36.2374042,-93.1043986","36.2374042,-93.1043986"
MODOC STEEL AND SUPPLY,CarQuest,101779,1201 JUNIPER STREET,ALTURAS,CA,96101,5302332655,USA,"41.4948419,-120.5499034","41.4948419,-120.5499034"
MOHAWK AUTO PARTS,CarQuest,101780,1701 W AMERICAN BLVD,MULESHOE,TX,79347,8062724425,USA,"34.2355099,-102.7425572","34.2355099,-102.7425572"
MONARCH AUTO SUPPLY,CarQuest,101781,1112 HALSTED,CHICAGO HEIGHTS,IL,60411,7087554700,USA,"41.5111533,-87.6358739","41.5111533,-87.6358739"
MONROE CARQUEST,CarQuest,101782,1015 FIRST AVENUE,MONROE,WI,53566,6083253138,USA,"42.6015261,-89.6593568","42.6015261,-89.6593568"
MONT BELVIEU AUTO SUPPLY,CarQuest,101783,"11012 HWY 146 , P.O. BOX 673",MONT BELVIEU,TX,77580,2813852696,USA,"29.8468952,-94.8948705","29.8468952,-94.8948705"
MONTEZUMA AUTOMOTIVE SUPPLY,CarQuest,101784,401 E. TEXCOCO ST,MONTEZUMA,KS,67867,6208462212,USA,"37.6002318,-100.4367146","37.6002318,-100.4367146"
MONTICELLO CARQUEST,CarQuest,101785,1321 S. JEFFERSON ST,MONTICELLO,FL,32344,8509975207,USA,"30.5336692,-83.8713698","30.5336692,-83.8713698"
MONTYS AUTO PARTS,CarQuest,101786,223 WEST HWY 50,GUNNISON,CO,81230,9706411282,USA,"38.5405124,-106.9399144","38.5405124,-106.9399144"
MOORE AUTO PARTS,CarQuest,101787,300 S DUMAS,DUMAS,TX,79029,8069352101,USA,"35.8629576,-101.9735494","35.8629576,-101.9735494"
MORENO AND SONS MILITARY DR,CarQuest,101788,7508 MILITARY DR WEST,SAN ANTONIO,TX,78227,2106732351,USA,"29.4185882,-98.6291676","29.4185882,-98.6291676"
MORRISON AUTO SUPPLY INC.,CarQuest,101789,502 E LINCOLN WAY,MORRISON,IL,61270,8157727451,USA,"41.8085525,-89.9606014","41.8085525,-89.9606014"
MOSER TIRE SERVICE AND AUTO PART,CarQuest,101790,105 N MAIN,KOUTS,IN,46347,2197662249,USA,"41.3188117,-87.0263959","41.3188117,-87.0263959"
MOTION PARTS LLC,CarQuest,101791,PO BOX 385,SMITH CENTER,KS,66967,7852826667,USA,"39.776459,-98.7847668","39.776459,-98.7847668"
MOTOR PARTS SALES CO. INC.,CarQuest,101792,210 WEST CEDAR,CHEROKEE,IA,51012,7122252548,USA,"42.7518913,-95.5519252","42.7518913,-95.5519252"
MOTOR PARTS SALES#2,CarQuest,101793,115 SOUTH MAIN,HOLSTEIN,IA,51025,7123684545,USA,"42.4887875,-95.545056","42.4887875,-95.545056"
MOTOR PARTS SALES#3,CarQuest,101794,318 MAIN ST N,MARCUS,IA,51035,7123762106,USA,"42.8253785,-95.8080067","42.8253785,-95.8080067"
MOUNTAIN AUTO PARTS,CarQuest,101795,PO BOX 4979,CRESTLINE,CA,92325,9093383612,USA,"34.2524771,-117.2793685","34.2524771,-117.2793685"
"MOUNTAIN AUTO PARTS, INC.",CarQuest,101796,3991 EVERGREEN PARKWAY,EVERGREEN,CO,80439,3036746661,USA,"39.6440808,-105.3360376","39.6440808,-105.3360376"
MOUNTAIN TRUCK AND EQUIPMENT CO.,CarQuest,101797,717 SOUTH MAIN STREET,LONGMONT,CO,80501,3037764603,USA,"40.1503266,-105.103147","40.1503266,-105.103147"
MOUNTAIN WEST AUTOMOTIVE,CarQuest,101798,3 S DIVISION,WHITEHALL,MT,59759,4062873824,USA,"45.8685189,-112.0984392","45.8685189,-112.0984392"
"MP AUTO AND RIGGING, LLC",CarQuest,101799,725 ASH STREET,MYRTLE POINT,OR,97458,5415591081,USA,"43.0659395,-124.1391998","43.0659395,-124.1391998"
MT AIRY AUTO PARTS,CarQuest,101800,407 S MAIN ST.,MT AIRY,MD,21771,3018291620,USA,"39.3740564,-77.1569302","39.3740564,-77.1569302"
MT. IRON CARQUEST,CarQuest,101801,8415 ENTERPRISE DR,MT. IRON,MN,55768,2187417345,USA,"47.5200918,-92.5746947","47.5200918,-92.5746947"
MTL-LAVAL-CHOMEDEY QC,CarQuest,101802,965 BOULEVARD CURÉ-LABELLE,LAVAL,QC,H7V 2V7,,CAN,,
MULLER AUTO PARTS,CarQuest,101803,1107 WEST CEDAR ST.,BERESFORD,SD,57004,6057635080,USA,"43.0829996,-96.7877999","43.0829996,-96.7877999"
MULLIS DISTRIBUTORS,CarQuest,101804,1001 J STREET,BEDFORD,IN,47421,8122798166,USA,"38.8677073,-86.4842673","38.8677073,-86.4842673"
MURPHY AUTO PARTS,CarQuest,101805,42 TENNESEE STREET,MURPHY,NC,28906,8288378121,USA,"35.0887474,-84.0343507","35.0887474,-84.0343507"
MURRAY MOTORS INC,CarQuest,101806,302 E 1ST ST,PORT ANGELES,WA,98362,3604570454,USA,"48.1171923,-123.4298637","48.1171923,-123.4298637"
MURRAYS AUTO PARTS OF PAMPLICO,CarQuest,101807,902 S PAMPLICO HIGHWAY,PAMPLICO,SC,29583,8434931000,USA,"33.9872145,-79.5658096","33.9872145,-79.5658096"
MURRY SUPPLY CO,CarQuest,101808,16082 US  HWY 45,MACON,MS,39341,6627265346,USA,"33.0923289,-88.4993077","33.0923289,-88.4993077"
NANTY GLO AUTO SUPPLY,CarQuest,101809,1450 SHOEMAKER ST,NANTY GLO,PA,15943,8147498075,USA,"40.4660636,-78.8368929","40.4660636,-78.8368929"
NEALS CARQUEST,CarQuest,101810,622 US HWY 61,NEW MADRID,MO,63869,5737485910,USA,"36.5908475,-89.5433872","36.5908475,-89.5433872"
NEITZEL AUTO AND HARDWARE,CarQuest,101811,305 W MADISON ST,WATERLOO,WI,53594,9204783509,USA,"43.1841023,-88.9927876","43.1841023,-88.9927876"
NEPHI CARQUEST,CarQuest,101812,33 NORTH MAIN STREET,NEPHI,UT,84648,4356230909,USA,"39.7089444,-111.8365034","39.7089444,-111.8365034"
"NEXT LEVEL PARTS, INC.",CarQuest,101813,430 LANDER AVE.,TURLOCK,CA,95380,2096344968,USA,"37.4884955,-120.8487729","37.4884955,-120.8487729"
NICKS AUTO PARTS INC,CarQuest,101814,808 N FIRST,CARRIZO SPRINGS,TX,78834,8308765228,USA,"28.5272008,-99.8550046","28.5272008,-99.8550046"
"NICK'S AUTO PARTS, LLC",CarQuest,101815,610 CENTER DR.,LUXEMBURG,WI,54217,9208452287,USA,"44.5458535,-87.6976695","44.5458535,-87.6976695"
NICK'S SUPPLY COMPANY,CarQuest,101816,1733 WASHINGTON STREET,VICKSBURG,MS,39182-0605,6016365571,USA,"32.3447617,-90.8831375","32.3447617,-90.8831375"
NORFOLK AUTO PARTS,CarQuest,101817,125 QUEENSWAY WEST,SIMCOE,ON,N3Y 2M8,5194280860,CAN,"42.8457231,-80.3121483","42.8457231,-80.3121483"
NORLINA AUTO PARTS,CarQuest,101818,110 U.S. 1 NORTH,NORLINA,NC,27563,2524563937,USA,"36.4445782,-78.2014823","36.4445782,-78.2014823"
NORMS GTC,CarQuest,101819,106 W LYON,MARSHALL,MN,56258,5075322236,USA,"44.4476419,-95.7870858","44.4476419,-95.7870858"
NORTH AMARILLO AUTO PARTS,CarQuest,101820,6400 RIVER ROAD,AMARILLO,TX,79108,8063812288,USA,"35.2714754,-101.8307535","35.2714754,-101.8307535"
NORTH COUNTY AUTO PARTS,CarQuest,101821,425 RYAN DRIVE STE A,SAN MARCOS,CA,92078-4055,7604716994,USA,"33.1367792,-117.1923235","33.1367792,-117.1923235"
NORTH MIDDLESEX AUTO SUPPLY,CarQuest,101822,242 MAIN STREET,PARKHILL,ON,N0M 2K0,5192946224,CAN,"43.1633329,-81.6836704","43.1633329,-81.6836704"
NORTH SIDE AUTO PARTS,CarQuest,101823,140 W COUNTY RD 6,ELKHART,IN,46514,5742644139,USA,"41.7250756,-85.9763032","41.7250756,-85.9763032"
NORTHERN SUPPLY OF IRON MOUNTAIN,CarQuest,101824,P.O. BOX 845,IRON MOUNTAIN,MI,49801,9067742446,USA,"45.8202334,-88.0659603","45.8202334,-88.0659603"
NORTHSIDE AUTO PARTS,CarQuest,101825,1507 8TH AVENUE WEST,PALMETTO,FL,34221,9417224581,USA,"27.5274429,-82.5733094","27.5274429,-82.5733094"
NORTHTOWN AUTO & TRACTOR INC,CarQuest,101826,215 SUPPIGER LANE,HIGHLAND,IL,62249,6186547551,USA,"38.7541334,-89.6796374","38.7541334,-89.6796374"
NORTHWEST AUTO SUPPLY,CarQuest,101827,370 WEST SPRING,FRIDAY HARBOR,WA,98250,3603786042,USA,"48.533347,-123.0187064","48.533347,-123.0187064"
"NORTON AUTO SUPPLY, INC.",CarQuest,101828,102 NORTH SECOND,NORTON,KS,67654,7858773333,USA,"39.8293524,-99.8916465","39.8293524,-99.8916465"
"NORWAY AUTO PARTS, INC.",CarQuest,101829,101 SUNDANCE DRIVE,NORWAY,MI,49870-1172,9065638220,USA,"45.7924606,-87.9220284","45.7924606,-87.9220284"
NUTLEY AUTO,CarQuest,101830,66 WASHINGTON AVE,NUTLEY,NJ,07110,9736670264,USA,"40.8084402,-74.146246","40.8084402,-74.146246"
ODENVILLE AUTO PARTS,CarQuest,101831,100 COUNCIL DRIVE,ODENVILLE,AL,35120,2056299111,USA,"33.6760451,-86.404611","33.6760451,-86.404611"
OHIO VALLEY AUTO AND TRUCK PARTS,CarQuest,101832,890 WEST HUNTER,LOGAN,OH,43138,7403857278,USA,"39.5422842,-82.4208485","39.5422842,-82.4208485"
OK AUTO PARTS,CarQuest,101833,230 SOUTH FRONT ST,STERLING,CO,80751,9705224384,USA,"40.6212822,-103.2080583","40.6212822,-103.2080583"
OLEARY AUTO PARTS,CarQuest,101834,PO BOX 69,OLEARY,PE,C0B 1V0,9028592116,CAN,"46.7073413,-64.2365456","46.7073413,-64.2365456"
OMAHA AUTO PARTS,CarQuest,101835,8925 MISSION BLVD,RIVERSIDE,CA,92509,9516854777,USA,"34.0121381,-117.4781661","34.0121381,-117.4781661"
ONAWAY,CarQuest,101836,21621 M 68 HWY,ONAWAY,MI,49765,9897334689,USA,"45.3534616,-84.2450661","45.3534616,-84.2450661"
ORACLE AUTO REPAIR AND PARTS,CarQuest,101837,1535 WEST AMERICAN AVE,ORACLE,AZ,85623,5208962600,USA,"32.6179561,-110.7902398","32.6179561,-110.7902398"
OSCEOLA  AUTO PARTS LLC,CarQuest,101838,933 240TH STREET,OSCEOLA,WI,54020,7152944440,USA,"45.3439914,-92.6470241","45.3439914,-92.6470241"
OTTS AUTO SUPPLY,CarQuest,101839,239 S. JOHNSON ST.,KAHOKA,MO,63445,6607273646,USA,"40.418742,-91.7192706","40.418742,-91.7192706"
OWENS AUTO PARTS,CarQuest,101840,811 HWY 65 S,MORA,MN,55051,3206793480,USA,"45.8677662,-93.2952146","45.8677662,-93.2952146"
OWENS INTERSTATE SALES,CarQuest,101841,2200 W LAZELLE,STURGIS,SD,57785,6053473621,USA,"44.4172098,-103.5274457","44.4172098,-103.5274457"
OXFORD - COUNTRY CDJ INC,CarQuest,101842,2129 BALTIMORE PIKE,OXFORD,PA,19363,4847027420,USA,"39.776199,-75.9835598","39.776199,-75.9835598"
P & G AUTO PARTS,CarQuest,101843,26 HILL ST,SOUTHAMPTON,NY,11968,6312833838,USA,"40.8833363,-72.3939582","40.8833363,-72.3939582"
PADIK AUTO PARTS - CALIFON,CarQuest,101844,423 ROUTE 513,CALIFON,NJ,07830,9088322184,USA,"40.7247459,-74.8472864","40.7247459,-74.8472864"
PALAU CARQUEST,CarQuest,101845,P.O. BOX 605,"MALAKAL, KOROR",PW,96940,6804885575,PW ,"7.3326726,134.4547555","7.3326726,134.4547555"
PALMERTON AUTO PARTS INC.,CarQuest,101846,406 DELAWARE AVE,PALMERTON,PA,18071,6108264702,USA,"40.8024585,-75.6071236","40.8024585,-75.6071236"
"PARK FALLS AUTO SUPPLY, INC.",CarQuest,101847,DBA PARK FALLS CARQUEST,PARK FALLS,WI,54552,7157624488,USA,"45.9343242,-90.4520528","45.9343242,-90.4520528"
PARROTT'S DISCOUNT AUTO PARTS,CarQuest,101848,353 EAST MAIN STREET,ADAMSVILLE,TN,38310,7316323288,USA,"35.2346076,-88.3827675","35.2346076,-88.3827675"
PARSELL'S AUTO PARTS,CarQuest,101849,612 MAIN ST SOUTH,SOUTHBURY,CT,06488,2032646593,USA,"41.4670196,-73.229132","41.4670196,-73.229132"
PARTNER AUTOMOTIVE,CarQuest,101850,50 ST JAMES STREET,WATERFORD,ON,N0E 1Y0,5194438661,CAN,"42.9331864,-80.2940182","42.9331864,-80.2940182"
PARTNER DELHI,CarQuest,101851,772 JAMES STREET,DELHI,ON,N4B 2C9,5195824320,CAN,"42.8408904,-80.4889839","42.8408904,-80.4889839"
PARTS AND SERVICE,CarQuest,101852,301 N EAST AVE,OZARK,AL,36360,3347745151,USA,"31.4604203,-85.6411555","31.4604203,-85.6411555"
"PARTS AND SERVICE, LLC",CarQuest,101853,415 NORTH MAIN STREET,BRUNDIDGE,AL,36010,3347353633,USA,"31.7248924,-85.8170837","31.7248924,-85.8170837"
"PARTS AUTOMOTIVE, LLC",CarQuest,101854,1900 HIGHWAY 378,CONWAY,SC,29527,8434887278,USA,"33.839429,-79.073901","33.839429,-79.073901"
PARTS HOUSE-MONDOVI,CarQuest,101855,995 EAST MAIN STREET,MONDOVI,WI,54755,7159265011,USA,"44.5695744,-91.6544402","44.5695744,-91.6544402"
PARTS SMART CARQUEST,CarQuest,101856,1025 E PLATTE AVENUE,FORT MORGAN,CO,80701,9708672535,USA,"40.2544281,-103.788256","40.2544281,-103.788256"
"PATRIOT AUTO PARTS, INC.",CarQuest,101857,4494 BROAD STREET,SUMTER,SC,29154,8034944444,USA,"33.9636833,-80.461472","33.9636833,-80.461472"
PAYSON CARQUEST,CarQuest,101858,805 SOUTH BEELINE HIGHWAY,PAYSON,AZ,85541,9284745224,USA,"34.2301831,-111.3251942","34.2301831,-111.3251942"
PEINTURE DAUTO VALLIERES (2009) INC,CarQuest,101859,"957, BERNARD PILON",BELOEIL,QC,J3G 1V7,(450) 467-0595,CAN,"45.556817,-73.2299125","45.556817,-73.2299125"
PENN AUTO PARTS INC,CarQuest,101860,240 YORK STREET,HANOVER,PA,17331,7176371331,USA,"39.8001365,-76.9773125","39.8001365,-76.9773125"
PERFORMANCE AUTO AND GLASS,CarQuest,101861,607 BROADWAY,THERMOPOLIS,WY,82443,3078642315,USA,"43.6456,-108.213","43.6456,-108.213"
PERRY AUTOMOTIVE SUPPLY,CarQuest,101862,427 S MAIN PO BOX 446,PERRY,MI,48872,5176253127,USA,"42.8214338,-84.2187018","42.8214338,-84.2187018"
PERRYS AUTO PARTS,CarQuest,101863,113 SO F STREET,LOMPOC,CA,93436,8057366142,USA,"34.6382908,-120.4556333","34.6382908,-120.4556333"
PERRY'S AUTO PARTS,CarQuest,101864,223 11TH AVENUE,FRANKLINTON,LA,70438,9858393011,USA,"30.8549798,-90.158112","30.8549798,-90.158112"
PERRYVILLE A S CARQUEST,CarQuest,101865,301 N MAIN ST,PERRYVILLE,MO,63775,5735474511,USA,"37.7277365,-89.8620006","37.7277365,-89.8620006"
PETERSON'S AUTO PARTS,CarQuest,101866,505 WATER STREET,SAUK CITY,WI,53583,6086433329,USA,"43.2752686,-89.7212313","43.2752686,-89.7212313"
PETERSONS AUTO SUPPLY,CarQuest,101867,1348 F STREET,WASCO,CA,93280,6617586458,USA,"35.5872651,-119.3334287","35.5872651,-119.3334287"
"PETE'S AUTO PARTS, INC.",CarQuest,101868,8966 MS HWY 12 EAST,ACKERMAN,MS,39735,6622856700,USA,"33.3207738,-89.176217","33.3207738,-89.176217"
PETE'S MAIN ST AUTO PARTS,CarQuest,101869,503 E MAIN ST,SCOTTSVILLE,KY,42164,2702373166,USA,"36.7528844,-86.1858875","36.7528844,-86.1858875"
PETES PAINT AND PARTS,CarQuest,101870,157 TALBOT ST E,LEAMINGTON,ON,N8H1L8,5193222555,CAN,"42.0551975,-82.5924067","42.0551975,-82.5924067"
PETROLEUM WHOLESALE L.P.,CarQuest,101871,10400 INTERSTATE 20 @ HWY 1788,MIDLAND,TX,79706,4325630075,USA,"31.913521,-102.2171401","31.913521,-102.2171401"
PHI-DT MORRISVILLE PA #1261,CarQuest,101872,1381 S. PENNSYLVANIA AVE.,MORRISVILLE,PA,19067,2155849185,USA,"40.1936998,-74.770463","40.1936998,-74.770463"
PHILMA INC,CarQuest,101873,2232 ALUM ROCK AVE #40,SAN JOSE,CA,95116,4082548218,USA,"37.3574401,-121.8452128","37.3574401,-121.8452128"
"PHOENIX AUTO PARTS, INC.",CarQuest,101874,4526 S. PACIFIC HIGHWAY,PHOENIX,OR,97535,5415358300,USA,"42.2686932,-122.8103445","42.2686932,-122.8103445"
PIECE  DAUTO GUILL,CarQuest,101875,-,BEAUPORT,QC,G1C 2H5,4186619072,CAN,"46.8771182,-71.1561897","46.8771182,-71.1561897"
PIECES & PEINTURE D'AUTOS PARIS,CarQuest,101876,158 BOUL ST-JEAN-BAPTISTE,CHATEAUGUAY,QC,J6K 3B3,4506926781,CAN,"45.354878,-73.7177904","45.354878,-73.7177904"
PIECES & PEINTURE D'AUTOS PARIS,CarQuest,101877,90 BOUL ST-LAURENT,BEAUHARNOIS,QC,J6N 1V7,4504293095,CAN,"45.3150309,-73.8753169","45.3150309,-73.8753169"
PIECES AUTO HAP INC,CarQuest,101878,1960 CH NEWERIN,HUNTINGDON,QC,J0S 1H0,5142642322,CAN,"45.0986998,-74.1778636","45.0986998,-74.1778636"
PIECES D AUTO AMIGO LTEE,CarQuest,101879,645 RUE PRINCIPALE,PETIT ROCHER,NB,E8J 1G7,5067837445,CAN,"47.7787018,-65.7162158","47.7787018,-65.7162158"
PIECES D AUTOS CARAQUET,CarQuest,101880,104 RUE DU PORTAGE,CARAQUET,NB,E1W 1A8,5067276501,CAN,"47.7806017,-64.9321933","47.7806017,-64.9321933"
PIECES D'AUTO DORCHESTER INC,CarQuest,101881,72 BOUL BEGIN,STE CLAIRE,QC,G0R 2V0,4188832231,CAN,"46.5999136,-70.872969","46.5999136,-70.872969"
PIECES D'AUTO M. MICHAUD INC,CarQuest,101882,36 TACHE OUEST,ST HUBERT R-D-L,QC,G0L 3L0,4184972478,CAN,"47.8128096,-69.1508316","47.8128096,-69.1508316"
PIECES D'AUTO ST-FRANCOIS INC.,CarQuest,101883,"90,RUE CHAPLEAU",TERREBONNE,QC,J6W 2T1,4504714101,CAN,"45.6921728,-73.6310511","45.6921728,-73.6310511"
PIECES D'AUTO ST-GAB (9378-5491),CarQuest,101884,"300, RUE BEAUVILLIERS",SAINT-GABRIEL,QC,J0K 2N0,4508353333,CAN,"46.2958058,-73.3765695","46.2958058,-73.3765695"
PIECES D'AUTOS ACTON INC.,CarQuest,101885,"756, RUE ROXTON",ACTON VALE,QC,J0H 1A0,4505467108,CAN,"45.6451521,-72.5706804","45.6451521,-72.5706804"
PIECES D'AUTOS EXPERT,CarQuest,101886,165 JEAN-PROULX,GATINEAU,QC,J8Z 1T4,8197773821,CAN,"45.4623356,-75.734451","45.4623356,-75.734451"
